id,name,city,addr,lat,lng,water,season,skill,launch,parking,amenities,pros,cons,pop,best,gear,tips,law
crane-cove,"Crane Cove Park (Dogpatch, SF)",San Francisco,"18th St & Illinois St, San Francisco, CA",37.7577,-122.3872,salt,year,B|I|A,Sandy beach,Street + paid lot (~1 block),Restrooms; no showers,"Calm, close-in; skyline views",Crowded weekends; small area,Medium,Warm-up laps; teach friends,Perfect as‑is; optional bigger wing if windy PM,Go early; avoid swimmers & SUP lesson zones; watch tug/ship wake outside Pier 50,"Harbor/cove no‑wake; {{Citation: ""CA 5 mph within 100 ft of swimmers & 200 ft of beaches/docks"" SourceName:""CA Boating"" SourceURL:""https://dbw.parks.ca.gov/?page_id=1440""}}; wear PFD"
crissy,Crissy Field / City Front (SF) — Advanced,San Francisco,"1199 East Beach, San Francisco, CA",37.8076,-122.4649,salt,year,A,Beach,Paid lots at East Beach,Restrooms; outdoor rinse,Iconic GG Bridge runs; ferry wakes,Strong wind/currents; heavy traffic,Low (elite),Adrenaline downwinders; photo ops,Consider larger front wing + steadier stab on big days,Target slack or moderate flood; buddy system; bailout at Horseshoe Cove; avoid Aquatic Park swim zone,GGNRA area: no‑wake near shore; stay clear of shipping lane; keep 100 yd from bridge piers; obey COLREGS; PFD required
oyster-point,Oyster Point Marina (South SF),South San Francisco,"95 Harbormaster Rd, South San Francisco, CA",37.6647,-122.3777,salt,year,B|I|A,Ramp & guest dock,Large free lot (<200 ft),Restrooms; rinse hose,Protected start; scenic shoreline,Windy PM; weekday ferry wake,Low–Medium,Scenic cruising; wake play,MN 1300C great; bigger wing if choppy PM,Give ferry path room; avoid fishing pier lines; mornings are glassy,Harbor no‑wake; 5 mph in fairways; CA 5 mph proximity rule
coyote-point,Coyote Point (San Mateo),San Mateo,"1701 Coyote Point Dr, San Mateo, CA",37.5904,-122.3205,salt,year,I|A,Marina ramp or small beach,Gate/launch fees (county park),Restrooms; marina water,Harbor for flat starts; open bay outside,Strong PM wind/chop; reflected chop off point,Low–Medium,AM speed laps; harbor practice,As‑is AM; swap to 1500C if nuking,Idle to breakwater; wide berth to rocks; retreat inside if rough,Harbor no‑wake; CA 5 mph proximity rule
foster-lagoon,Foster City Lagoon / Canals (Speed‑limited),Foster City,"Foster City, CA",37.5585,-122.271,brackish,year,B,City boat parks & ramps,Lots by parks,Restrooms in parks,"Glassy, sheltered",Legal 5 mph max → no foiling at speed,Very Low (efoil),No‑foil taxi practice only,Keep current setup; larger wing won’t make 5 mph fly,Avoid swimmers; courteous near homes; bridges ~15–22 ft clearance,Electric only; **5 mph limit**; DMV reg needed
redwood-slough,Redwood City – Westpoint Slough,Redwood City,"Westpoint Harbor, 101 Westpoint Harbor Blvd, Redwood City, CA",37.5156,-122.2137,salt,year,B|I|A,Port ramp / Westpoint Harbor,Ramp ~$5; marina lots,Restrooms; rinse,"Flat, warmish, low traffic",Shallow mud off channel at low tide,Medium,Technique reps; mellow long runs,MN 1300C perfect; Flow 245C for carving,Stay in dredged channel on low tides; debris after storms,Harbor no‑wake; follow nav aids
baywinds,Baywinds Park (Foster City – 3rd Ave Bayfront),Foster City,"1603 Beach Park Blvd, Foster City, CA",37.5629,-122.2624,salt,spring-fall,I|A,Beach/levee entry,Free turnout by levee,None on site,Glass mornings; training ground,PM nuking winds; mudflats at low tide,High (wind sports),AM speed runs; chop practice PM,MN 1300C AM; bring 1500C if cranking,Mid/high tide best; yield to kiters/windsurfers; avoid drain cuts,Open bay; CA 5 mph proximity; no‑wake near harbors
alameda,Alameda – Crown Beach / Encinal Ramp,Alameda,"Encinal Boat Ramp, 190 Central Ave, Alameda, CA",37.7646,-122.273,salt,year,B|I|A,Beach or ramp,Street & paid lots (close),Restrooms; seasonal showers,Beginner‑friendly; protected cove,Very shallow at low tide; summer beach crowds,High (efoil hub),Learning; relaxed cruising; sunsets,As‑is ideal; 1500C if ultra‑slow training,Use breakwater lee for flat water; mind swim buoys in summer,Keep 5 mph within swim zones/docks; marina no‑wake
berkeley,Berkeley Marina / Frontage,Berkeley,"201 University Ave, Berkeley, CA",37.8656,-122.313,salt,spring-fall,I|A,Ramp or sheltered coves,Marina lots,Restrooms; cafes nearby,AM windows; boat wakes outside,Afternoon wind & chop; weeds sometimes,Low–Medium,Exploration laps; wake carving,MN 1300C fine; upsize if blown out,No‑wake in harbor; avoid fishing lines on pier,Harbor no‑wake; CA 5 mph proximity
emeryville,Emeryville Marina,Emeryville,"3310 Powell St, Emeryville, CA",37.837,-122.3135,salt,spring-fall,I,Ramp / dock,Marina lots,Restrooms; food nearby,Easy freeway access; lee behind breakwaters,Tight fairways; PM breeze,Low,Short after‑work foils,As‑is good,Idle out; watch Oakland ferry route outside,Harbor no‑wake; CA 5 mph proximity
